bank_row_id,date,amount,narration
bnk_Hi0W3VcMZb,2026-07-13,12188790,NEFT CR: KOTAK X8L2DDH0UYHNQYYF RAZORPAY SETTLEMENT
bnk_Ba7mQiOj5q,2026-07-07,9443350,NEFT CR: ICICI 9RK7D30MM2SMDZQC RAZORPAY SETTLEMENT
bnk_px4kysRoOR,2026-07-21,22158187,NEFT CR: KOTAK 23C42YFKJFPNQVUT RAZORPAY SETTLEMENT
bnk_neKGBavh1R,2026-07-10,3204841,NEFT CR: HDFC 2HBIK2U1RSUJT9T1 RAZORPAY SETTLEMENT
bnk_exTgt2iVUi,2026-07-10,5285875,NEFT CR: AXIS G4W58RHNUXORZPGU RAZORPAY SETTLEMENT
bnk_eILkvnU5MB,2026-07-15,7903177,NEFT CR: ICICI XO05QPAHKZ2U2TNH RAZORPAY SETTLEMENT
bnk_fgUKx7tirf,2026-07-23,22912567,NEFT CR: ICICI 4N5PP3XVKVZRGOL0 RAZORPAY SETTLEMENT
bnk_LSr6b02mLl,2026-07-24,-3262096,NEFT CR: SBI 8S63E1OCJXZEFLI4 RAZORPAY SETTLEMENT
bnk_sd37EgEKG8,2026-07-20,7057100,NEFT CR: AXIS LIENFNVUPRT77GGK RAZORPAY SETTLEMENT
bnk_5i1JwQV7Vb,2026-07-17,4504772,NEFT CR: KOTAK 75PB8Z3V6DIXFWUX RAZORPAY SETTLEMENT
bnk_an56yrSVAy,2026-07-08,1249109,NEFT CR: HDFC 1PHP0XI5BJ5D5E3H RAZORPAY SETTLEMENT
bnk_Hjfe58juKV,2026-07-22,7531298,NEFT CR: SBI 0Y4VPW232UTVG9KU RAZORPAY SETTLEMENT
bnk_tB7op5hLdP,2026-07-03,19259587,NEFT CR: HDFC OFWWNC21O0Z5QRU5 RAZORPAY SETTLEMENT
bnk_hRRk7GWSkh,2026-07-06,12888153,NEFT CR: ICICI RAZORPAY SETTLEMENT
