order_id,candidate_entity_id,amount_a,amount_b,amount_diff,amount_diff_pct,date_diff_days,method_match,desc_similarity,label
order_gTpigTHKbfoLIS,pay_RABr1VjArnVgxw,2304100,2249723,54377,0.0236,2,1,0.218,1
order_gTpigTHKbfoLIS,pay_iCGItUBY3A4Bj1,2304100,2928712,624612,0.2711,1,1,0.255,0
order_gTpigTHKbfoLIS,pay_cwi4uzmW2wFqk4,2304100,3132096,827996,0.3594,7,1,0.255,0
order_gTpigTHKbfoLIS,pay_zOjD8uQO001xtS,2304100,3171152,867052,0.3763,6,0,0.291,0
order_TH8xIZM1JRcore,pay_ogrNwwmq6OLkTk,2536700,2476834,59866,0.0236,4,1,0.218,1
order_TH8xIZM1JRcore,pay_y8H6h8l7qgATtL,2536700,3321322,784622,0.3093,4,0,0.255,0
order_TH8xIZM1JRcore,pay_FEecAtpf7ZJ69P,2536700,1773338,763362,0.3009,5,0,0.291,0
order_TH8xIZM1JRcore,pay_MT4OsNb90AgSB3,2536700,2109903,426797,0.1682,1,0,0.255,0
order_QnuVdYXye4JSnE,pay_2NiiUHUAKw9iEU,768500,750363,18137,0.0236,2,1,0.25,1
order_QnuVdYXye4JSnE,pay_FzkmL2dDx5SFhf,768500,1074626,306126,0.3983,4,0,0.25,0
order_QnuVdYXye4JSnE,pay_DQi78jO2DOUrrd,768500,621186,147314,0.1917,1,1,0.292,0
order_QnuVdYXye4JSnE,pay_518Y2bTu5X1YqW,768500,740502,27998,0.0364,5,0,0.25,0
order_jQKxKDpI6Qh2UV,pay_vsjaSS8VFgM0Fm,2500400,2441391,59009,0.0236,2,1,0.208,1
order_jQKxKDpI6Qh2UV,pay_O1BEuVx518ox1z,2500400,2084809,415591,0.1662,6,0,0.208,0
order_jQKxKDpI6Qh2UV,pay_vqrK2IGlozIoDS,2500400,2916604,416204,0.1665,5,0,0.208,0
order_jQKxKDpI6Qh2UV,pay_9miekS9Y79PRIs,2500400,1968129,532271,0.2129,0,1,0.208,0
order_754LEgw9YooJeT,pay_Y8HhO6kGL75UQS,2664800,2601911,62889,0.0236,3,1,0.255,1
order_754LEgw9YooJeT,pay_iCGItUBY3A4Bj1,2664800,2928712,263912,0.099,2,1,0.255,0
order_754LEgw9YooJeT,pay_Ph3FPuRIlPxUkJ,2664800,2647216,17584,0.0066,3,0,0.291,0
order_754LEgw9YooJeT,pay_If94ChZESFqZ8p,2664800,3576260,911460,0.342,4,0,0.255,0
order_3BpdbIKaRdebuF,pay_rEHS2JpDzfOvz1,405000,395442,9558,0.0236,2,1,0.163,1
order_yv1plBArp5B1Id,pay_9Z850kEnydx9qW,3031900,2960347,71553,0.0236,4,1,0.218,1
order_yv1plBArp5B1Id,pay_tU6QlTrKVL8Zsw,3031900,1982971,1048929,0.346,5,0,0.255,0
order_yv1plBArp5B1Id,pay_E5GXTeLYHteOtL,3031900,2775417,256483,0.0846,4,0,0.218,0
order_yv1plBArp5B1Id,pay_Zcui8kBRIg6Qjc,3031900,2411317,620583,0.2047,5,0,0.291,0
order_mSoyPstUeC99en,pay_q522wjZRL9OaYs,4397500,4293719,103781,0.0236,4,1,0.327,1
order_mSoyPstUeC99en,pay_8DliS6cmX2ttyY,4397500,3078003,1319497,0.3001,4,0,0.245,0
order_mSoyPstUeC99en,pay_EFEtb6F7nvdE2O,4397500,3060038,1337462,0.3041,1,0,0.286,0
order_mSoyPstUeC99en,pay_vqrK2IGlozIoDS,4397500,2916604,1480896,0.3368,7,1,0.245,0
order_q3UjrnvQ0Fp4dN,pay_Zcui8kBRIg6Qjc,2469600,2411317,58283,0.0236,2,1,0.208,1
order_q3UjrnvQ0Fp4dN,pay_v0Yg7NZRBT7qYH,2469600,3142641,673041,0.2725,4,0,0.208,0
order_q3UjrnvQ0Fp4dN,pay_nzuCdZyV6b2JD6,2469600,1959537,510063,0.2065,5,0,0.208,0
order_q3UjrnvQ0Fp4dN,pay_MT4OsNb90AgSB3,2469600,2109903,359697,0.1456,2,1,0.25,0
order_ht3X13npgW2zMj,pay_518Y2bTu5X1YqW,758400,740502,17898,0.0236,2,1,0.157,1
order_ht3X13npgW2zMj,pay_1A3zZyTttp7QDf,758400,595018,163382,0.2154,7,0,0.157,0
order_ht3X13npgW2zMj,pay_50OXirZRiRBaep,758400,1005497,247097,0.3258,3,1,0.157,0
order_ht3X13npgW2zMj,pay_DQi78jO2DOUrrd,758400,621186,137214,0.1809,6,0,0.235,0
order_1nYCsXoblu17rN,pay_y8H6h8l7qgATtL,3401600,3321322,80278,0.0236,4,1,0.122,1
order_1nYCsXoblu17rN,pay_9Z850kEnydx9qW,3401600,2960347,441253,0.1297,4,0,0.163,0
order_1nYCsXoblu17rN,pay_v0Yg7NZRBT7qYH,3401600,3142641,258959,0.0761,7,0,0.122,0
order_1nYCsXoblu17rN,pay_h6CpwL7SWktJ5J,3401600,2450373,951227,0.2796,5,0,0.122,0
order_3lcBGYQ6TmA65M,pay_Ph3FPuRIlPxUkJ,2711200,2647216,63984,0.0236,2,1,0.163,1
order_3lcBGYQ6TmA65M,pay_tU6QlTrKVL8Zsw,2711200,1982971,728229,0.2686,6,1,0.163,0
order_3lcBGYQ6TmA65M,pay_FEecAtpf7ZJ69P,2711200,1773338,937862,0.3459,6,1,0.204,0
order_3lcBGYQ6TmA65M,pay_f0pKGytvukFhF4,2711200,2284385,426815,0.1574,3,0,0.163,0
order_rAJOCBnD3XkfFN,pay_uYUPnmbpD0ezNm,4613600,4504719,108881,0.0236,4,1,0.157,1
order_rAJOCBnD3XkfFN,pay_9Z850kEnydx9qW,4613600,2960347,1653253,0.3583,4,0,0.157,0
order_rAJOCBnD3XkfFN,pay_8DliS6cmX2ttyY,4613600,3078003,1535597,0.3328,3,0,0.157,0
order_rAJOCBnD3XkfFN,pay_q522wjZRL9OaYs,4613600,4293719,319881,0.0693,3,0,0.157,0
order_yjQ312WnXRCI4h,pay_iCGItUBY3A4Bj1,2999500,2928712,70788,0.0236,4,1,0.291,1
order_yjQ312WnXRCI4h,pay_zOjD8uQO001xtS,2999500,3171152,171652,0.0572,1,0,0.255,0
order_yjQ312WnXRCI4h,pay_9miekS9Y79PRIs,2999500,1968129,1031371,0.3438,5,0,0.327,0
order_yjQ312WnXRCI4h,pay_If94ChZESFqZ8p,2999500,3576260,576760,0.1923,6,0,0.255,0
order_0rWEoBSou3ejxj,pay_nzuCdZyV6b2JD6,2006900,1959537,47363,0.0236,2,1,0.157,1
order_0rWEoBSou3ejxj,pay_jdg3vSFkpBBGjx,2006900,1858968,147932,0.0737,6,1,0.275,0
order_0rWEoBSou3ejxj,pay_O1BEuVx518ox1z,2006900,2084809,77909,0.0388,7,1,0.157,0
order_0rWEoBSou3ejxj,pay_FEecAtpf7ZJ69P,2006900,1773338,233562,0.1164,1,0,0.157,0
order_HTX3EqEyPXS058,pay_H4KPfA1lquCu2r,2812700,2746320,66380,0.0236,2,1,0.218,1
order_HTX3EqEyPXS058,pay_h6CpwL7SWktJ5J,2812700,2450373,362327,0.1288,7,0,0.291,0
order_HTX3EqEyPXS058,pay_f0pKGytvukFhF4,2812700,2284385,528315,0.1878,2,1,0.255,0
order_HTX3EqEyPXS058,pay_nzuCdZyV6b2JD6,2812700,1959537,853163,0.3033,4,0,0.255,0
order_DUd7ne7cbp0MoD,pay_h6CpwL7SWktJ5J,2509600,2450373,59227,0.0236,4,1,0.157,1
order_DUd7ne7cbp0MoD,pay_v0Yg7NZRBT7qYH,2509600,3142641,633041,0.2522,6,1,0.157,0
order_DUd7ne7cbp0MoD,pay_9Z850kEnydx9qW,2509600,2960347,450747,0.1796,3,0,0.157,0
order_DUd7ne7cbp0MoD,pay_nzuCdZyV6b2JD6,2509600,1959537,550063,0.2192,7,1,0.157,0
order_eQMgV0Lh8WvAwF,pay_v0Yg7NZRBT7qYH,3218600,3142641,75959,0.0236,2,1,0.157,1
order_eQMgV0Lh8WvAwF,pay_uYUPnmbpD0ezNm,3218600,4504719,1286119,0.3996,7,1,0.157,0
order_eQMgV0Lh8WvAwF,pay_cwi4uzmW2wFqk4,3218600,3132096,86504,0.0269,7,0,0.275,0
order_eQMgV0Lh8WvAwF,pay_wUqxNxPDM6uLON,3218600,3019615,198985,0.0618,7,0,0.157,0
order_ZKtp5rBUJPuEuE,pay_vqrK2IGlozIoDS,2987100,2916604,70496,0.0236,2,1,0.122,1
order_ZKtp5rBUJPuEuE,pay_v0Yg7NZRBT7qYH,2987100,3142641,155541,0.0521,5,0,0.122,0
order_ZKtp5rBUJPuEuE,pay_9miekS9Y79PRIs,2987100,1968129,1018971,0.3411,7,0,0.163,0
order_ZKtp5rBUJPuEuE,pay_1heEJQjY6fpIzK,2987100,4005974,1018874,0.3411,7,0,0.122,0
order_szpPwIv9IvCtoS,pay_tU6QlTrKVL8Zsw,2030900,1982971,47929,0.0236,4,1,0.163,1
order_szpPwIv9IvCtoS,pay_nzuCdZyV6b2JD6,2030900,1959537,71363,0.0351,7,0,0.163,0
order_szpPwIv9IvCtoS,pay_Zcui8kBRIg6Qjc,2030900,2411317,380417,0.1873,4,0,0.204,0
order_szpPwIv9IvCtoS,pay_r6YICtu8zF9OHz,2030900,1249109,781791,0.3849,5,0,0.163,0
order_hcds6NUgarDv7p,pay_1heEJQjY6fpIzK,4102800,4005974,96826,0.0236,3,1,0.167,1
order_hcds6NUgarDv7p,pay_0gxwsRbZya1W84,4102800,4817069,714269,0.1741,5,0,0.25,0
order_hcds6NUgarDv7p,pay_ZMLhfx9IwiLycc,4102800,4614955,512155,0.1248,3,0,0.167,0
order_hcds6NUgarDv7p,pay_5SrJH3yvVjc7e5,4102800,4246266,143466,0.035,5,0,0.167,0
order_x4sKAJd7gVMqfo,pay_IjzQDcrr1eoqXK,1346400,1314625,31775,0.0236,4,1,0.157,1
order_x4sKAJd7gVMqfo,pay_50OXirZRiRBaep,1346400,1005497,340903,0.2532,0,1,0.157,0
order_x4sKAJd7gVMqfo,pay_jdg3vSFkpBBGjx,1346400,1858968,512568,0.3807,3,1,0.157,0
order_x4sKAJd7gVMqfo,pay_Dbugzt32NLqO8J,1346400,1504828,158428,0.1177,3,0,0.157,0
order_HO4ZektUJrhQR6,pay_FEecAtpf7ZJ69P,1816200,1773338,42862,0.0236,3,1,0.245,1
order_HO4ZektUJrhQR6,pay_h6CpwL7SWktJ5J,1816200,2450373,634173,0.3492,3,0,0.204,0
order_HO4ZektUJrhQR6,pay_r6YICtu8zF9OHz,1816200,1249109,567091,0.3122,4,0,0.163,0
order_HO4ZektUJrhQR6,pay_ogrNwwmq6OLkTk,1816200,2476834,660634,0.3637,2,0,0.163,0
