entity_id,type,amount,fee,tax,net_amount,order_id,payment_id,method,settled_date,settlement_id
pay_RABr1VjArnVgxw,payment,2304100,46082,8295,2249723,order_gTpigTHKbfoLIS,pay_RABr1VjArnVgxw,netbanking,2026-07-23,setl_SVtmtc1TbIKS
pay_ogrNwwmq6OLkTk,payment,2536700,50734,9132,2476834,order_TH8xIZM1JRcore,pay_ogrNwwmq6OLkTk,netbanking,2026-07-06,setl_smoJpI6uVEST
pay_2NiiUHUAKw9iEU,payment,768500,15370,2767,750363,order_QnuVdYXye4JSnE,pay_2NiiUHUAKw9iEU,upi,2026-07-23,setl_SVtmtc1TbIKS
pay_vsjaSS8VFgM0Fm,payment,2500400,50008,9001,2441391,order_jQKxKDpI6Qh2UV,pay_vsjaSS8VFgM0Fm,upi,2026-07-23,setl_SVtmtc1TbIKS
pay_Y8HhO6kGL75UQS,payment,2664800,53296,9593,2601911,order_754LEgw9YooJeT,pay_Y8HhO6kGL75UQS,netbanking,2026-07-21,setl_CTviHl397G0e
pay_rEHS2JpDzfOvz1,payment,405000,8100,1458,395442,order_3BpdbIKaRdebuF,pay_rEHS2JpDzfOvz1,card,2026-07-17,setl_YdaiNejnCdN5
pay_9Z850kEnydx9qW,payment,3031900,60638,10915,2960347,order_yv1plBArp5B1Id,pay_9Z850kEnydx9qW,netbanking,2026-07-06,setl_smoJpI6uVEST
pay_q522wjZRL9OaYs,payment,4397500,87950,15831,4293719,order_mSoyPstUeC99en,pay_q522wjZRL9OaYs,card,2026-07-13,setl_4OaGzbSHrFRA
pay_Zcui8kBRIg6Qjc,payment,2469600,49392,8891,2411317,order_q3UjrnvQ0Fp4dN,pay_Zcui8kBRIg6Qjc,upi,2026-07-07,setl_6l4GoMpvXe7C
pay_518Y2bTu5X1YqW,payment,758400,15168,2730,740502,order_ht3X13npgW2zMj,pay_518Y2bTu5X1YqW,wallet,2026-07-16,setl_pRsZe9ObzxDN
